"","cuedAR","uncuedAR","sameDirection1S0D","responseAR","barkod"
"1",-0.46331866,-0.46331866,"Ungrouped",-0.1404438046875,1
"22",-0.46331866,-0.41698684,"Ungrouped",-0.273647780625,1
"43",-0.46331866,-0.37065503,"Ungrouped",-0.2157330084375,1
"64",-0.46331866,-0.32432321,"Ungrouped",-0.2631652068,1
"85",-0.46331866,-0.27799139,"Ungrouped",-0.202487685185185,1
"106",-0.46331866,-0.23165957,"Ungrouped",-0.228570784,1
"127",-0.46331866,-0.18532775,"Ungrouped",-0.146717871333333,1
"148",-0.46331866,-0.13899593,"Ungrouped",-0.212057647307692,1
"169",-0.46331866,-0.09266412,"Ungrouped",-0.192455724615385,1
"190",-0.46331866,-0.0463323,"Ungrouped",-0.200771692222222,1
"211",-0.46331866,-4.8e-07,"Ungrouped",-0.255624303793103,1
"232",-0.46331866,0.04633134,"Ungrouped",-0.211515302173913,1
"253",-0.46331866,0.09266316,"Ungrouped",-0.2287638321875,1
"274",-0.46331866,0.13899498,"Ungrouped",-0.170338046764706,1
"295",-0.46331866,0.18532679,"Ungrouped",-0.188316903548387,1
"316",-0.46331866,0.23165861,"Ungrouped",-0.156155867777778,1
"337",-0.46331866,0.27799043,"Ungrouped",-0.204499540344828,1
"358",-0.46331866,0.32432225,"Ungrouped",-0.151007886666667,1
"379",-0.46331866,0.37065407,"Ungrouped",-0.185327753333333,1
"400",-0.46331866,0.41698588,"Ungrouped",-0.164735834722222,1
"421",-0.46331866,0.4633177,"Ungrouped",-0.2862649275,1
"442",-0.46331866,-0.46331866,"Grouped",-0.252839804,1
"463",-0.46331866,-0.41698684,"Grouped",-0.2816979348,1
"484",-0.46331866,-0.37065503,"Grouped",-0.253818265652174,1
"505",-0.46331866,-0.32432321,"Grouped",-0.2742848436,1
"526",-0.46331866,-0.27799139,"Grouped",-0.260276282058824,1
"547",-0.46331866,-0.23165957,"Grouped",-0.2576053888,1
"568",-0.46331866,-0.18532775,"Grouped",-0.249789413043478,1
"589",-0.46331866,-0.13899593,"Grouped",-0.1964473896,1
"610",-0.46331866,-0.09266412,"Grouped",-0.209155544857143,1
"631",-0.46331866,-0.0463323,"Grouped",-0.179981773461538,1
"652",-0.46331866,-4.8e-07,"Grouped",-0.284381984482759,1
"673",-0.46331866,0.04633134,"Grouped",-0.1853277532,1
"694",-0.46331866,0.09266316,"Grouped",-0.220848814,1
"715",-0.46331866,0.13899498,"Grouped",-0.197241649142857,1
"736",-0.46331866,0.18532679,"Grouped",-0.2895743435,1
"757",-0.46331866,0.23165861,"Grouped",-0.125758237857143,1
"778",-0.46331866,0.27799043,"Grouped",-0.146123870384615,1
"799",-0.46331866,0.32432225,"Grouped",-0.247636060344828,1
"820",-0.46331866,0.37065407,"Grouped",-0.239381541,1
"841",-0.46331866,0.41698588,"Grouped",-0.190475731851852,1
"862",-0.46331866,0.4633177,"Grouped",-0.158597857307692,1
"2",-0.41698684,-0.46331866,"Ungrouped",-0.233022271764706,2
"23",-0.41698684,-0.41698684,"Ungrouped",-0.193315964827586,2
"44",-0.41698684,-0.37065503,"Ungrouped",-0.0702002042424242,2
"65",-0.41698684,-0.32432321,"Ungrouped",-0.118555425882353,2
"86",-0.41698684,-0.27799139,"Ungrouped",-0.180534805862069,2
"107",-0.41698684,-0.23165957,"Ungrouped",-0.279315155428571,2
"128",-0.41698684,-0.18532775,"Ungrouped",-0.209500876086957,2
"149",-0.41698684,-0.13899593,"Ungrouped",-0.233765561363636,2
"170",-0.41698684,-0.09266412,"Ungrouped",-0.204110922432432,2
"191",-0.41698684,-0.0463323,"Ungrouped",-0.14705364173913,2
"212",-0.41698684,-4.8e-07,"Ungrouped",-0.283337368461538,2
"233",-0.41698684,0.04633134,"Ungrouped",-0.230372575555556,2
"254",-0.41698684,0.09266316,"Ungrouped",-0.1694011903125,2
"275",-0.41698684,0.13899498,"Ungrouped",-0.204203679259259,2
"296",-0.41698684,0.18532679,"Ungrouped",-0.2171808775,2
"317",-0.41698684,0.23165861,"Ungrouped",-0.251261493461538,2
"338",-0.41698684,0.27799043,"Ungrouped",-0.132377103928571,2
"359",-0.41698684,0.32432225,"Ungrouped",-0.231659571724138,2
"380",-0.41698684,0.37065407,"Ungrouped",-0.142191232068966,2
"401",-0.41698684,0.41698588,"Ungrouped",-0.170948911724138,2
"422",-0.41698684,0.4633177,"Ungrouped",-0.274130405,2
"443",-0.41698684,-0.46331866,"Grouped",-0.191946584761905,2
"464",-0.41698684,-0.41698684,"Grouped",-0.247103509166667,2
"485",-0.41698684,-0.37065503,"Grouped",-0.206838954285714,2
"506",-0.41698684,-0.32432321,"Grouped",-0.229645143478261,2
"527",-0.41698684,-0.27799139,"Grouped",-0.172972600666667,2
"548",-0.41698684,-0.23165957,"Grouped",-0.249594469032258,2
"569",-0.41698684,-0.18532775,"Grouped",-0.234854868275862,2
"590",-0.41698684,-0.13899593,"Grouped",-0.1370654425,2
