"subNum","trial_number","cuedAR","uncuedAR","responseAR","rt","shape_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","pairGlobalOrg","pairMotSame","responseError","sameARCat","pairAR_sameCondition","id","corrCoeff","corrPval"
293737,0,0.4633177,0.27799043,0.4633177,2917,0,1,0,180,0,0.6,0,1,0,0,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,1,-0.00000048,-0.13899593,-0.32432321,3048,1,2,90,90,0,0.6,90,0,1,-0.32432273,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,2,-0.27799139,0.41698588,-0.23165957,5038,1,2,90,90,0,0.6,90,0,1,0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,3,-0.23165957,0.13899498,-0.0463323,4958,0,2,90,90,0,0.8,90,1,1,0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,4,-0.13899593,0.27799043,-0.18532775,6288,1,2,90,270,0,0.6,270,0,0,-0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,5,0.04633134,0.23165861,0.18532679,3452,0,1,180,0,0,0.8,180,1,0,0.13899545,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,6,0.37065407,-0.23165957,-0.37065503,3821,1,2,0,180,0,0.8,180,0,0,-0.7413091,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,7,0.18532679,0.4633177,0.13899498,2877,1,1,0,180,0,0.6,0,0,0,-0.04633181,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,8,-0.41698684,0.32432225,-0.27799139,2502,0,1,90,270,0,0.8,90,1,0,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,9,-0.13899593,0.4633177,-0.27799139,2384,1,2,270,90,0,0.6,90,0,0,-0.13899546,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,10,-0.18532775,0.04633134,0.04633134,2543,1,2,90,90,0,0.8,90,0,1,0.23165909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,11,-0.32432321,-0.18532775,0.13899498,2281,1,2,270,90,0,0.8,90,0,0,0.46331819,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,12,-0.23165957,-0.37065503,0.09266316,3174,0,2,180,0,0,0.8,0,1,0,0.32432273,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,13,-0.0463323,0.4633177,-0.13899593,3892,1,2,0,180,0,0.6,180,0,0,-0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,14,0.32432225,-0.13899593,0.37065407,2703,1,1,180,180,0,0.8,180,0,1,0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,15,0.37065407,0.09266316,0.41698588,4503,0,1,180,0,0,0.8,180,1,0,0.04633181,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,16,0.27799043,-0.41698684,-0.18532775,3800,1,1,270,90,0,0.8,270,0,0,-0.46331818,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,17,-0.13899593,0.09266316,0.18532679,2377,1,1,270,90,0,0.6,270,0,0,0.32432272,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,18,-0.27799139,-0.41698684,-0.27799139,2736,0,1,180,0,0,0.8,180,1,0,0,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,19,0.13899498,-0.13899593,0.27799043,2058,1,1,0,180,0,0.8,0,0,0,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,20,0.37065407,-0.41698684,0.4633177,4019,0,1,0,180,0,0.8,0,1,0,0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,21,0.4633177,-0.37065503,-0.27799139,23353,0,2,180,0,0,0.8,0,1,0,-0.74130909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,22,-0.00000048,-0.23165957,0.23165861,2354,0,2,180,180,0,0.8,180,1,1,0.23165909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,23,-0.41698684,0.04633134,-0.27799139,2458,1,1,90,270,0,0.6,90,0,0,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,24,0.04633134,0.41698588,0.13899498,1785,0,2,180,0,0,0.6,0,1,0,0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,25,0.41698588,-0.41698684,0.50964952,1801,0,1,90,270,0,0.6,90,1,0,0.09266364,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,26,0.32432225,0.37065407,0.04633134,1440,1,2,270,270,0,0.8,270,0,1,-0.27799091,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,27,0.37065407,-0.27799139,0.37065407,1789,0,1,180,180,0,0.8,180,1,1,0,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,28,-0.09266412,0.13899498,-0.18532775,2338,0,1,270,270,0,0.8,270,1,1,-0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
